2024-11-30 14:20:13,204 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Configure stats pid to 266546
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Loading settings from /home/shwetimasakshi/.config/wandb/settings
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Loading settings from /scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/wandb/settings
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'run_pseudo_labelling.py', 'program_abspath': '/scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/run_pseudo_labelling.py', 'program': '/scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/run_pseudo_labelling.py'}
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_init.py:_log_setup():533] Logging user logs to /scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/wandb/run-20241130_142013-1fclico1/logs/debug.log
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_init.py:_log_setup():534] Logging internal logs to /scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/wandb/run-20241130_142013-1fclico1/logs/debug-internal.log
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_init.py:init():619] calling init triggers
2024-11-30 14:20:13,205 INFO    MainThread:266546 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-30 14:20:13,206 INFO    MainThread:266546 [wandb_init.py:init():669] starting backend
2024-11-30 14:20:13,206 INFO    MainThread:266546 [wandb_init.py:init():673] sending inform_init request
2024-11-30 14:20:13,208 INFO    MainThread:266546 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-30 14:20:13,209 INFO    MainThread:266546 [wandb_init.py:init():686] backend started and connected
2024-11-30 14:20:13,217 INFO    MainThread:266546 [wandb_init.py:init():781] updated telemetry
2024-11-30 14:20:13,217 INFO    MainThread:266546 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-30 14:20:13,754 INFO    MainThread:266546 [wandb_init.py:init():867] starting run threads in backend
2024-11-30 14:20:20,314 INFO    MainThread:266546 [wandb_run.py:_console_start():2456] atexit reg
2024-11-30 14:20:20,315 INFO    MainThread:266546 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-30 14:20:20,315 INFO    MainThread:266546 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-30 14:20:20,315 INFO    MainThread:266546 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-30 14:20:20,391 INFO    MainThread:266546 [wandb_init.py:init():911] run started, returning control to user process
2024-11-30 14:31:17,800 WARNING MsgRouterThr:266546 [router.py:message_loop():75] message_loop has been closed
