2024-11-30 20:18:37,169 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Current SDK version is 0.18.7
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Configure stats pid to 200975
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Loading settings from /home/shwetimasakshi/.config/wandb/settings
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Loading settings from /scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/wandb/settings
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'api_key': '***REDACTED***'}
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'run_pseudo_labelling.py', 'program_abspath': '/scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/run_pseudo_labelling.py', 'program': '/scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/run_pseudo_labelling.py'}
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-11-30 20:18:37,170 INFO    MainThread:200975 [wandb_init.py:_log_setup():533] Logging user logs to /scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/wandb/run-20241130_201837-t2iyzay6/logs/debug.log
2024-11-30 20:18:37,171 INFO    MainThread:200975 [wandb_init.py:_log_setup():534] Logging internal logs to /scratch/user/shwetimasakshi/distil-whisper/training/finetune_multilingual/wandb/run-20241130_201837-t2iyzay6/logs/debug-internal.log
2024-11-30 20:18:37,171 INFO    MainThread:200975 [wandb_init.py:init():619] calling init triggers
2024-11-30 20:18:37,171 INFO    MainThread:200975 [wandb_init.py:init():626] wandb.init called with sweep_config: {}
config: {}
2024-11-30 20:18:37,171 INFO    MainThread:200975 [wandb_init.py:init():669] starting backend
2024-11-30 20:18:37,171 INFO    MainThread:200975 [wandb_init.py:init():673] sending inform_init request
2024-11-30 20:18:37,172 INFO    MainThread:200975 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-11-30 20:18:37,172 INFO    MainThread:200975 [wandb_init.py:init():686] backend started and connected
2024-11-30 20:18:37,176 INFO    MainThread:200975 [wandb_init.py:init():781] updated telemetry
2024-11-30 20:18:37,176 INFO    MainThread:200975 [wandb_init.py:init():814] communicating run to backend with 90.0 second timeout
2024-11-30 20:18:37,619 INFO    MainThread:200975 [wandb_init.py:init():867] starting run threads in backend
2024-11-30 20:18:39,683 INFO    MainThread:200975 [wandb_run.py:_console_start():2456] atexit reg
2024-11-30 20:18:39,683 INFO    MainThread:200975 [wandb_run.py:_redirect():2305] redirect: wrap_raw
2024-11-30 20:18:39,684 INFO    MainThread:200975 [wandb_run.py:_redirect():2370] Wrapping output streams.
2024-11-30 20:18:39,684 INFO    MainThread:200975 [wandb_run.py:_redirect():2395] Redirects installed.
2024-11-30 20:18:39,690 INFO    MainThread:200975 [wandb_init.py:init():911] run started, returning control to user process
2024-11-30 23:08:44,762 INFO    MainThread:200975 [wandb_run.py:_finish():2155] finishing run manisha27-panda-texas-a-m-university/distil-whisper-labelling-italian-common-voice/t2iyzay6
2024-11-30 23:08:44,781 INFO    MainThread:200975 [wandb_run.py:_atexit_cleanup():2420] got exitcode: 0
2024-11-30 23:08:44,782 INFO    MainThread:200975 [wandb_run.py:_restore():2402] restore
2024-11-30 23:08:44,782 INFO    MainThread:200975 [wandb_run.py:_restore():2408] restore done
2024-11-30 23:08:47,363 INFO    MainThread:200975 [wandb_run.py:_footer_history_summary_info():3960] rendering history
2024-11-30 23:08:47,397 INFO    MainThread:200975 [wandb_run.py:_footer_history_summary_info():3992] rendering summary
2024-11-30 23:08:47,403 INFO    MainThread:200975 [wandb_run.py:_footer_sync_info():3921] logging synced files
